Habitat,DEM,sDEM,hDEM,DSM,CHM,Aspect,Slope,Curvature,PlanCurv,ProfileCurv,NDVI,NDRE,NDWI,x,y,Wetland
1.0,18.427148818969727,18.249032974243164,18.427148818969727,25.245615005493164,6.8184661865234375,29.819995880126953,12.891579627990723,-0.004238552413880825,-0.0021192762069404125,0.0021192762069404125,0.7645361423492432,0.22352184355258942,-0.6340780854225159,688814.0762026609,22916.4451890076,1
3.0,17.92681121826172,17.866641998291016,17.92681121826172,18.766084671020508,0.8392734527587891,39.245094299316406,12.91672420501709,155.91726684570312,33.291229248046875,-122.62604522705078,0.7810203433036804,0.16079749166965485,-0.6945462822914124,689146.0896898811,22913.44597744045,1
2.0,16.545679092407227,16.394487380981445,16.553462982177734,16.545679092407227,0.0,224.16712951660156,3.3100759983062744,175.4972686767578,33.623958587646484,-141.87330627441406,0.37536829710006714,0.12169749289751053,-0.48231449723243713,688922.3479902729,22888.852442589792,0
1.0,18.6021728515625,18.74151611328125,18.6021728515625,18.6021728515625,0.0,239.0427703857422,4.107013702392578,-0.0021192762069404125,-0.0015585043001919985,0.000560771964956075,-0.26855090260505676,0.13886325061321259,0.2184942215681076,689532.9888755305,22870.857173186876,1
1.0,17.962797164916992,18.159156799316406,17.98922348022461,18.61627769470215,0.6534805297851562,250.86256408691406,0.3711215555667877,-0.0021192762069404125,-0.00022777127742301673,0.0018915049731731415,-0.23943540453910828,0.11879518628120422,0.2579423189163208,689496.398409911,22864.858750052572,1
1.0,16.54518699645996,16.456378936767578,16.654834747314453,23.78165626525879,7.236469268798828,280.4169616699219,4.2564921379089355,-389.8896179199219,-118.81575775146484,271.0738525390625,0.5216062068939209,0.19026747345924377,-0.5196852684020996,688880.0590095158,22862.45938079885,1
3.0,16.706207275390625,16.652494430541992,16.96074104309082,16.974437713623047,0.2682304382324219,326.04132080078125,14.730210304260254,-115.68281555175781,-30.0098876953125,85.67292785644531,0.622319757938385,0.13947394490242004,-0.608574390411377,689392.9253718884,22855.561194194397,1
2.0,16.30257797241211,16.16390609741211,16.319581985473633,16.30257797241211,0.0,164.47080993652344,3.3541646003723145,-182.87022399902344,-32.03095245361328,150.8392791748047,0.4818834066390991,0.16160352528095245,-0.52102130651474,688881.8585406119,22850.462534530237,0
3.0,16.953933715820312,16.8217830657959,17.039865493774414,17.881271362304688,0.927337646484375,187.81353759765625,8.7495756149292,119.0842514038086,42.30284881591797,-76.78140258789062,0.5926923155784607,0.12249207496643066,-0.5831429958343506,689429.515837508,22846.563559492937,1
1.0,17.029817581176758,16.697433471679688,17.029817581176758,19.905555725097656,2.8757381439208984,243.35400390625,23.314977645874023,-181.0667266845703,117.96186065673828,299.0285949707031,0.8063778877258301,0.17741471529006958,-0.6187483668327332,688828.7723732786,22834.26679206761,1
2.0,16.217782974243164,16.014339447021484,16.319581985473633,16.217782974243164,0.0,114.66805267333984,4.44241189956665,-54.96131134033203,49.7933464050293,104.75465393066406,0.6285261511802673,0.15446257591247559,-0.628727376461029,688876.759869173,22832.167343970603,0
3.0,16.317747116088867,16.225801467895508,16.319581985473633,16.36869239807129,0.050945281982421875,207.31982421875,8.576827049255371,32.54148864746094,74.75711822509766,42.215633392333984,0.7781856060028076,0.13539926707744598,-0.6284255981445312,688907.9517415045,22803.974755239364,1
3.0,16.238086700439453,16.089019775390625,16.319581985473633,16.30632972717285,0.7206859588623047,10.323850631713867,12.575712203979492,-239.51425170898438,12.873796463012695,252.38804626464844,0.7518141865730286,0.15749433636665344,-0.6199557185173035,689014.7239198697,22794.67719938119,1
1.0,17.058805465698242,17.230276107788086,17.058805465698242,21.78002166748047,4.721216201782227,229.31285095214844,0.8502427935600281,-1.4750162363052368,-4.215199947357178,-2.7401838302612305,0.6087778806686401,0.13698710501194,-0.5672407150268555,689329.0420179788,22794.67719938119,1
1.0,17.392162322998047,17.28961181640625,17.392162322998047,24.249208450317383,6.857046127319336,279.9981384277344,28.20199203491211,-42.75851821899414,90.93904113769531,133.6975555419922,0.8071582317352295,0.22929440438747406,-0.6092779636383057,688778.9853462881,22785.979485836448,1
