,GRID_ID,Truth,Output
711,BP-61,0,1
712,BP-63,0,1
713,BQ-12,1,1
714,BQ-32,1,1
715,BQ-38,1,1
716,BQ-39,1,1
717,BQ-45,0,1
718,BQ-51,0,1
719,BQ-56,0,0
720,BQ-60,0,0
721,BQ-62,0,1
722,BR-10,1,1
723,BR-20,1,1
724,BR-29,1,1
725,BR-31,1,1
726,BR-33,1,1
727,BR-36,1,1
728,BR-49,0,1
729,BR-52,0,1
730,BR-56,0,0
731,BS-11,1,1
732,BS-12,1,1
733,BS-3,1,1
734,BS-45,0,0
735,BS-48,0,0
736,BS-51,0,1
737,BS-7,1,1
738,BS-8,1,1
739,BT-10,1,1
740,BT-15,1,1
741,BT-18,1,1
742,BT-20,1,1
743,BT-21,1,1
744,BT-22,1,1
745,BT-37,1,1
746,BT-40,0,1
747,BT-52,0,1
748,BT-57,0,0
749,BT-60,0,0
750,BT-61,0,0
751,BU-14,1,1
752,BU-17,1,1
753,BU-20,1,1
754,BU-21,1,1
755,BU-3,1,1
756,BU-46,0,1
757,BU-48,0,1
758,BU-54,0,1
759,BU-56,0,1
760,BU-59,0,0
761,BU-66,0,0
762,BU-9,1,1
763,BV-22,1,1
764,BV-28,1,1
765,BV-31,1,1
766,BV-37,1,1
767,BV-42,0,1
768,BV-47,0,1
769,BV-48,0,1
770,BV-62,0,0
771,BV-63,0,0
772,BV-8,1,1
773,BW-18,1,1
774,BW-2,1,1
775,BW-21,1,1
776,BW-25,1,1
777,BW-26,1,1
778,BW-37,1,1
779,BW-4,1,1
780,BW-43,0,1
781,BW-53,0,1
782,BW-55,0,1
783,BW-60,0,0
784,BW-62,0,0
785,BW-64,0,0
786,BW-8,1,1
787,BX-10,1,1
788,BX-14,1,1
789,BX-18,1,1
790,BX-23,1,1
791,BX-24,1,1
792,BX-32,1,1
793,BX-33,1,1
794,BX-44,0,0
795,BX-50,0,1
796,BX-59,0,1
797,BX-62,0,0
798,BX-66,0,0
799,BY-10,1,1
800,BY-11,1,1
801,BY-14,1,1
802,BY-2,1,1
803,BY-22,1,1
804,BY-24,1,1
805,BY-28,1,1
806,BY-30,1,1
807,BY-32,1,1
808,BY-33,1,1
809,BY-35,1,1
810,BY-38,0,1
811,BY-43,0,1
812,BY-44,0,1
813,BY-50,0,1
814,BY-55,0,1
815,BY-6,1,1
816,BY-61,0,0
817,BZ-10,1,1
818,BZ-13,1,1
819,BZ-16,1,1
820,BZ-17,1,1
821,BZ-21,1,1
822,BZ-33,1,1
823,BZ-39,0,1
824,BZ-52,1,1
825,BZ-53,1,1
826,BZ-55,0,1
827,BZ-6,1,1
828,C-11,0,0
829,C-18,0,1
830,C-2,0,0
831,C-21,0,0
832,C-22,0,0
833,C-24,0,0
834,C-3,0,0
835,C-32,1,1
836,C-34,1,1
837,C-4,0,0
838,C-53,1,1
839,C-58,1,1
840,C-62,1,1
841,C-65,0,1
842,C-78,1,1
843,C-79,1,1
844,C-84,1,1
845,C-86,1,1
846,C-9,0,0
847,C-97,1,1
848,C-98,1,1
849,C-99,1,1
850,CA-11,1,1
851,CA-14,1,1
852,CA-2,1,1
853,CA-37,0,1
854,CA-44,0,1
855,CA-46,0,1
856,CA-59,0,1
857,CB-16,1,1
858,CB-23,1,1
859,CB-25,1,1
860,CB-30,1,1
861,CB-37,0,1
862,CB-38,1,1
863,CB-4,1,1
864,CB-44,0,1
865,CB-46,0,1
866,CB-49,0,1
867,CB-52,1,1
868,CB-58,0,1
869,CB-64,0,1
870,CC-14,1,1
871,CC-15,1,1
872,CC-16,1,1
873,CC-17,1,1
874,CC-20,1,1
875,CC-27,1,1
876,CC-32,1,1
877,CC-40,0,1
878,CC-48,1,1
879,CC-50,1,1
880,CC-52,1,1
881,CC-53,1,1
882,CC-58,0,1
883,CC-59,0,1
884,CC-65,0,1
885,CC-66,0,1
886,CC-7,1,1
887,CD-12,1,1
888,CD-38,0,1
889,CD-42,0,1
890,CD-45,0,1
891,CD-46,1,1
892,CD-48,1,1
893,CD-5,1,1
894,CD-55,1,1
895,CD-61,0,1
896,CD-7,1,1
897,CE-26,1,1
898,CE-3,1,1
899,CE-38,0,1
900,CE-45,1,1
901,CE-48,1,1
902,CE-49,1,1
903,CE-50,1,1
904,CE-53,1,1
905,CE-57,0,1
906,CE-65,0,1
907,CE-9,1,1
908,CF-10,1,1
909,CF-12,1,1
910,CF-14,1,1
911,CF-15,1,1
912,CF-18,1,1
913,CF-21,1,1
914,CF-23,1,1
915,CF-25,1,1
916,CF-33,1,1
917,CF-35,0,1
918,CF-43,1,1
919,CF-44,1,1
920,CF-5,1,1
921,CF-54,1,1
922,CF-65,0,1
923,CG-14,1,1
924,CG-17,1,1
925,CG-18,1,1
926,CG-27,1,1
927,CG-32,1,1
928,CG-39,0,1
929,CG-4,1,1
930,CG-42,1,1
931,CG-45,1,1
932,CG-55,1,1
933,CG-58,0,1
934,CG-7,1,1
935,CG-9,1,1
936,CH-10,1,1
937,CH-11,1,1
938,CH-21,1,1
939,CH-22,1,1
940,CH-35,0,1
941,CH-38,0,1
942,CH-4,1,1
943,CH-42,1,1
944,CH-53,1,1
945,CH-56,0,1
946,CH-65,0,1
947,CI-16,1,1
948,CI-17,1,1
949,CI-19,1,1
950,CI-20,1,1
951,CI-24,1,1
952,CI-31,1,1
953,CI-42,1,1
954,CI-43,1,1
955,CI-44,1,1
956,CI-47,1,1
957,CI-5,1,1
958,CI-54,0,1
959,CI-57,0,1
960,CI-63,0,1
961,CI-64,0,1
962,CJ-10,1,1
963,CJ-11,1,1
964,CJ-15,1,1
965,CJ-27,1,1
966,CJ-31,1,1
967,CJ-4,1,1
968,CJ-42,1,1
969,CJ-43,1,1
970,CJ-47,1,1
971,CJ-50,1,1
972,CJ-61,0,1
973,CJ-63,1,1
974,CJ-7,1,1
975,CK-34,1,1
976,CK-5,1,1
977,CK-51,1,1
978,CK-53,1,1
979,CK-7,1,1
980,CL-13,1,1
981,CL-14,1,1
982,CL-17,1,1
983,CL-19,1,1
984,CL-20,1,1
985,CL-24,1,1
986,CL-26,1,1
987,CL-39,1,1
988,CL-41,1,1
989,CL-42,1,1
990,CL-48,1,1
991,CL-55,0,1
992,CL-7,1,1
993,CM-13,1,1
994,CM-15,1,1
995,CM-20,1,1
996,CM-21,1,1
997,CM-22,1,1
998,CM-31,1,1
999,CM-32,1,1
1000,CM-40,1,1
1001,CM-44,1,1
1002,CM-49,1,1
1003,CM-5,1,1
1004,CM-53,1,1
1005,CM-54,0,1
1006,CM-8,1,1
1007,CN-20,1,1
1008,CN-21,1,1
1009,CN-24,1,1
1010,CN-29,1,1
1011,CN-31,1,1
1012,CN-34,1,1
1013,CN-37,1,1
1014,CN-39,1,1
1015,CN-40,1,1
1016,CN-41,1,1
1017,CN-49,1,1
1018,CN-50,1,1
1019,CN-60,0,1
1020,CN-66,0,1
1021,CO-18,1,1
1022,CO-23,1,1
1023,CO-28,1,1
1024,CO-33,1,1
1025,CO-5,1,1
1026,CO-52,1,1
1027,CO-58,0,1
1028,CO-63,0,1
1029,CP-14,1,1
1030,CP-18,1,1
1031,CP-21,1,1
1032,CP-25,1,1
1033,CP-27,1,1
1034,CP-28,1,1
1035,CP-34,1,1
1036,CP-35,1,1
1037,CP-39,1,1
1038,CP-44,1,1
1039,CP-47,1,1
1040,CP-5,1,1
1041,CP-51,1,1
1042,CP-54,1,1
1043,CP-55,0,1
1044,CP-57,0,1
1045,CP-59,0,1
1046,CP-7,1,1
1047,CQ-12,1,1
1048,CQ-13,1,1
1049,CQ-17,1,1
1050,CQ-18,1,1
1051,CQ-20,1,1
1052,CQ-22,1,1
1053,CQ-23,1,1
1054,CQ-27,1,1
1055,CQ-31,1,1
1056,CQ-33,1,1
1057,CQ-34,1,1
1058,CQ-4,1,1
1059,CQ-45,1,1
1060,CQ-49,1,1
1061,CQ-6,1,1
1062,CQ-62,0,1
1063,CQ-64,0,1
1064,CQ-7,1,1
1065,CQ-9,1,1
1066,CR-14,1,1
1067,CR-17,1,1
1068,CR-20,1,1
1069,CR-23,1,1
1070,CR-37,1,1
1071,CR-42,1,1
1072,CR-45,1,1
1073,CR-54,1,1
1074,CR-55,0,1
1075,CR-62,0,1
1076,CR-65,0,1
1077,CS-10,1,1
1078,CS-11,1,1
1079,CS-14,1,1
1080,CS-19,1,1
1081,CS-22,1,1
1082,CS-25,1,1
1083,CS-29,1,1
1084,CS-3,1,1
1085,CS-36,1,1
1086,CS-5,1,1
1087,CS-54,0,1
1088,CS-61,0,1
1089,CS-65,0,1
1090,CT-11,1,1
1091,CT-14,1,1
1092,CT-27,1,1
1093,CT-45,1,1
1094,CT-53,1,1
1095,CT-61,0,1
1096,CT-62,0,1
1097,CT-66,0,1
1098,CU-10,1,1
1099,CU-23,1,1
1100,CU-26,1,1
1101,CU-27,1,1
1102,CU-28,1,1
1103,CU-31,1,1
1104,CU-35,1,1
1105,CU-4,1,1
1106,CU-43,1,1
1107,CU-44,1,1
1108,CU-54,0,1
1109,CU-59,0,1
1110,CU-8,1,1
1111,CV-11,1,1
1112,CV-15,1,1
1113,CV-16,1,1
1114,CV-17,1,1
1115,CV-19,1,1
1116,CV-23,1,1
1117,CV-3,1,1
1118,CV-35,1,1
1119,CV-38,1,1
1120,CV-42,1,1
1121,CV-45,1,1
1122,CV-5,1,1
1123,CV-57,0,1
1124,CV-63,0,1
1125,CW-10,1,1
1126,CW-15,1,1
1127,CW-17,1,1
1128,CW-18,1,1
1129,CW-27,1,1
1130,CW-32,1,1
1131,CW-34,1,1
1132,CW-38,1,1
1133,CW-41,1,1
1134,CW-50,0,1
1135,CW-51,0,1
1136,CW-52,0,1
1137,CW-57,0,1
1138,CW-59,0,1
1139,CX-18,1,1
1140,CX-20,1,1
1141,CX-23,1,1
1142,CX-25,1,1
1143,CX-32,1,1
1144,CX-48,1,1
1145,CX-55,0,1
1146,CX-62,1,1
1147,CX-9,1,1
1148,CY-22,1,1
1149,CY-23,1,1
1150,CY-34,1,1
1151,CY-38,1,1
1152,CY-40,1,1
1153,CY-41,1,1
1154,CY-44,1,1
1155,CY-45,1,1
1156,CY-54,0,1
1157,CY-59,1,1
1158,CY-63,1,1
1159,CZ-17,1,1
1160,CZ-19,1,1
1161,CZ-22,1,1
1162,CZ-24,1,1
1163,CZ-26,1,1
1164,CZ-27,1,1
1165,CZ-31,1,1
1166,CZ-36,1,1
1167,CZ-38,1,1
1168,CZ-49,1,1
1169,CZ-5,1,1
1170,CZ-58,1,1
1171,CZ-6,1,1
1172,CZ-7,1,1
1173,D-17,0,0
1174,D-18,0,0
1175,D-20,0,0
1176,D-24,0,0
1177,D-28,0,1
1178,D-32,1,1
1179,D-35,1,1
1180,D-40,1,1
1181,D-45,1,1
1182,D-47,1,1
1183,D-48,1,1
1184,D-60,1,1
1185,D-67,0,0
1186,D-69,0,0
1187,D-78,1,1
1188,D-88,1,1
1189,D-95,1,1
1190,D-98,1,1
1191,DA-10,1,1
1192,DA-15,1,1
1193,DA-19,1,1
1194,DA-2,1,1
1195,DA-20,1,1
1196,DA-3,1,1
1197,DA-38,1,1
1198,DA-48,1,1
1199,DA-58,1,1
1200,DA-63,1,1
1201,DA-66,1,1
1202,DB-11,1,1
1203,DB-14,1,1
1204,DB-16,1,1
1205,DB-19,1,1
1206,DB-20,1,1
1207,DB-28,1,1
1208,DB-30,1,1
1209,DB-50,1,1
1210,DB-51,1,1
1211,DB-65,1,1
1212,DB-8,1,1
1213,DC-13,1,1
1214,DC-14,1,1
1215,DC-15,1,1
1216,DC-18,1,1
1217,DC-32,1,1
1218,DC-35,1,1
1219,DC-36,1,1
1220,DC-43,1,1
1221,DC-45,1,1
1222,DC-46,1,1
1223,DC-47,1,1
1224,DC-48,1,1
1225,DC-61,1,1
1226,DC-9,1,1
1227,DD-13,1,1
1228,DD-14,1,1
1229,DD-15,1,1
1230,DD-24,1,1
1231,DD-25,1,1
1232,DD-3,1,1
1233,DD-36,1,1
1234,DD-44,1,1
1235,DD-46,1,1
1236,DD-5,1,1
1237,DD-55,1,1
